San Francisco, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
198506,0.29,0.15
198507,0.03,0.03
198508,0.02,-0.02
198509,0.18,0.11
198510,0.69,-0.10
198511,3.19,1.15
198512,1.61,-2.53
198601,4.04,0.15
198602,8.10,4.14
198603,5.84,3.11
198604,0.39,-0.97
198605,0.15,-0.33
198606,0.00,-0.14
198607,0.01,0.01
198608,0.00,-0.04
198609,0.47,0.40
198610,0.02,-0.77
198611,0.06,-1.98
198612,1.66,-2.48
198701,2.80,-1.09
198702,3.52,-0.44
198703,1.98,-0.75
198704,0.16,-1.20
198705,0.06,-0.42
198706,0.00,-0.14
198707,0.00,0.00
198708,0.00,-0.04
198709,0.00,-0.07
198710,0.93,0.14
198711,1.64,-0.40
198712,4.52,0.38
198801,3.92,0.03
198802,0.38,-3.58
198803,0.05,-2.68
198804,2.02,0.66
198805,0.29,-0.19
198806,0.60,0.46
198807,0.00,0.00
198808,0.00,-0.04
198809,0.03,-0.04
198810,0.42,-0.37
198811,2.32,0.28
198812,3.65,-0.49
198901,1.25,-2.64
198902,1.28,-2.68
198903,4.01,1.28
198904,0.78,-0.58
198905,0.04,-0.44
198906,0.01,-0.13
198907,0.00,0.00
198908,0.00,-0.04
198909,1.24,1.17
198910,1.40,0.61
198911,1.34,-0.70
198912,0.01,-4.13
199001,3.06,-0.83
199002,2.28,-1.68
199003,0.79,-1.94
199004,0.20,-1.16
199005,1.55,1.07
199006,0.00,-0.14
199007,0.01,0.01
199008,0.00,-0.04
199009,0.20,0.13
199010,0.19,-0.60
199011,0.28,-1.76
199012,1.79,-2.35
199101,0.25,-3.64
199102,3.76,-0.20
199103,6.08,3.35
199104,0.61,-0.75
199105,0.21,-0.27
199106,0.11,-0.03
199107,0.00,0.00
199108,0.27,0.23
199109,0.04,-0.03
199110,1.73,0.94
199111,0.23,-1.81
199112,2.70,-1.44
199201,2.04,-1.85
199202,6.44,2.48
199203,4.12,1.39
199204,0.25,-1.11
199205,0.00,-0.48
199206,0.39,0.25
199207,0.00,0.00
199208,0.14,0.10
199209,0.00,-0.07
199210,1.13,0.34
199211,0.15,-1.89
199212,6.04,1.90
199301,11.26,7.37
199302,4.69,0.73
199303,2.34,-0.39
199304,0.41,-0.95
199305,0.55,0.07
199306,0.16,0.02
199307,0.00,0.00
199308,0.00,-0.04
199309,0.00,-0.07
199310,0.45,-0.34
199311,1.47,-0.57
199312,2.19,-1.95
199401,2.50,-1.39
199402,5.27,1.31
199403,0.24,-2.49
199404,1.12,-0.24
199405,1.52,1.04
199406,0.03,-0.11
199407,0.00,0.00
199408,0.00,-0.04
199409,0.10,0.03
199410,0.33,-0.46
199411,5.74,3.70
199412,2.50,-1.64
199501,8.89,5.00
199502,0.38,-3.58
199503,8.76,6.03
199504,1.41,0.05
199505,0.93,0.45
199506,0.60,0.46
199507,0.00,0.00
199508,0.00,-0.04
199509,0.00,-0.07
199510,0.03,-0.76
199511,0.02,-2.02
199512,6.42,2.28
199601,6.92,3.03
199602,6.04,2.08
199603,2.89,0.16
199604,1.40,0.04
199605,1.24,0.76
199606,0.00,-0.14
199607,0.00,0.00
199608,0.00,-0.04
199609,0.00,-0.07
199610,0.76,-0.03
199611,2.56,0.52
199612,6.98,2.84
199701,7.53,3.64
199702,0.31,-3.65
199703,0.25,-2.48
199704,0.30,-1.06
