Sacramento, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
198104,0.66,-0.60
198105,0.50,-0.25
198106,0.00,-0.23
198107,0.00,0.00
198108,0.00,-0.04
198109,0.25,0.16
198110,2.57,1.73
198111,6.09,4.49
198112,3.28,-0.15
198201,5.50,1.84
198202,2.35,-1.14
198203,7.13,4.45
198204,3.07,1.81
198205,0.00,-0.75
198206,0.15,-0.08
198207,0.00,0.00
198208,0.00,-0.04
198209,1.81,1.72
198210,2.61,1.77
198211,5.74,4.14
198212,3.25,-0.18
198301,4.93,1.27
198302,5.57,2.08
198303,6.75,4.07
198304,4.21,2.95
198305,0.25,-0.50
198306,0.40,0.17
198307,0.00,0.00
198308,0.11,0.07
198309,0.66,0.57
198310,0.40,-0.44
198311,4.93,3.33
198312,5.26,1.83
198401,0.17,-3.49
198402,1.22,-2.27
198403,1.35,-1.33
198404,0.34,-0.92
198405,0.01,-0.74
198406,0.10,-0.13
198407,0.00,0.00
198408,0.01,-0.03
198409,0.07,-0.02
198410,1.39,0.55
198411,3.61,2.01
198412,1.23,-2.20
198501,0.66,-3.00
198502,1.52,-1.97
198503,2.01,-0.67
198504,0.00,-1.26
198505,0.01,-0.74
198506,0.15,-0.08
198507,0.00,0.00
198508,0.06,0.02
198509,0.56,0.47
198510,0.53,-0.31
198511,3.72,2.12
198512,2.34,-1.09
198601,3.67,0.01
198602,8.60,5.11
198603,3.20,0.52
198604,0.91,-0.35
198605,0.07,-0.68
198606,0.00,-0.23
198607,0.00,0.00
198608,0.00,-0.04
198609,0.60,0.51
198610,0.19,-0.65
198611,0.14,-1.46
198612,0.76,-2.67
198701,2.30,-1.36
198702,3.23,-0.26
198703,3.05,0.37
198704,0.20,-1.06
198705,0.00,-0.75
198706,0.00,-0.23
198707,0.00,0.00
198708,0.00,-0.04
198709,0.00,-0.09
198710,1.28,0.44
198711,2.53,0.93
198712,3.25,-0.18
198801,2.99,-0.67
198802,0.99,-2.50
198803,0.17,-2.51
198804,1.58,0.32
198805,0.89,0.14
198806,0.19,-0.04
198807,0.00,0.00
198808,0.00,-0.04
198809,0.64,0.55
198810,0.19,-0.65
198811,1.69,0.09
198812,2.74,-0.69
198901,0.71,-2.95
198902,1.25,-2.24
198903,6.29,3.61
198904,0.31,-0.95
198905,0.06,-0.69
198906,0.43,0.20
198907,0.00,0.00
198908,0.20,0.16
198909,2.78,2.69
198910,1.76,0.92
198911,1.32,-0.28
198912,0.00,-3.43
199001,4.98,1.32
199002,2.91,-0.58
199003,0.93,-1.75
199004,0.73,-0.53
199005,2.10,1.35
199006,0.00,-0.23
199007,0.00,0.00
199008,0.00,-0.04
199009,0.00,-0.09
199010,0.09,-0.75
199011,0.43,-1.17
199012,1.60,-1.83
199101,0.36,-3.30
199102,3.10,-0.39
199103,6.15,3.47
199104,0.30,-0.96
199105,0.25,-0.50
199106,0.53,0.30
199107,0.00,0.00
199108,0.14,0.10
199109,0.04,-0.05
199110,1.25,0.41
199111,0.19,-1.41
199112,1.60,-1.83
199201,1.39,-2.27
199202,5.47,1.98
199203,2.05,-0.63
199204,0.92,-0.34
199205,0.00,-0.75
199206,0.15,-0.08
199207,0.00,0.00
199208,0.00,-0.04
199209,0.00,-0.09
199210,1.31,0.47
199211,0.28,-1.32
199212,4.94,1.51
199301,8.62,4.96
199302,4.94,1.45
199303,2.39,-0.29
199304,0.63,-0.63
199305,1.14,0.39
199306,1.26,1.03
199307,0.00,0.00
199308,0.00,-0.04
199309,0.00,-0.09
199310,0.48,-0.36
199311,2.15,0.55
199312,1.75,-1.68
199401,2.12,-1.54
199402,3.15,-0.34
199403,0.05,-2.63
199404,0.67,-0.59
199405,1.68,0.93
199406,0.00,-0.23
199407,0.00,0.00
199408,0.00,-0.04
199409,0.00,-0.09
199410,0.00,-0.84
199411,-99.00,-100.60
199412,2.69,-0.74
199501,8.81,5.15
199502,0.20,-3.29
199503,8.13,5.45
199504,1.47,0.21
199505,1.06,0.31
199506,0.47,0.24
199507,0.00,0.00
199508,0.00,-0.04
199509,0.00,-0.09
199510,0.00,-0.84
199511,0.00,-1.60
199512,5.50,2.07
199601,4.17,0.51
199602,5.49,2.00
199603,1.73,-0.95
199604,1.25,-0.01
199605,0.79,0.04
199606,0.00,-0.23
199607,0.00,0.00
199608,0.00,-0.04
199609,0.00,-0.09
199610,0.67,-0.17
199611,1.97,0.37
199612,6.39,2.96
199701,9.05,5.39
199702,0.28,-3.21
199703,0.34,-2.34
199704,0.18,-1.08
199705,0.35,-0.40
199706,0.59,0.36
199707,0.00,0.00
199708,0.32,0.28
199709,0.16,0.07
199710,0.82,-0.02
199711,4.57,2.97
199712,2.91,-0.52
199801,6.40,2.74
199802,9.95,6.46
199803,2.47,-0.21
199804,1.06,-0.20
199805,2.98,2.23
199806,0.58,0.35
199807,0.00,0.00
199808,0.00,-0.04
