Mono,2299,1700,2100,2000,2100,2200,2100,1900,1800,2000,2000,2000,1900,2400,2500,2600,2700,3000,3100,3300,3500,3600,3600,4000,4100,4800,5700,6500,7000,7200,7200,7400,7600,8200,8700,8900,9300,9200,8800,8800,8800,8900,9100,9300,10078,10246,10498,11039,11432,11400,11696,11875,12107,12604,12855,13213,13383,13574,13726,13799,14151,14212,14073,14075,14011.0,14243.0,13982.0,13724.0,13717.0,13548.0,13389.0,13355.0,13222.0,13227.0,13310,13258,13159
Monterey,73032,117200,120600,125500,133500,171600,177400,178800,156900,161400,175900,185400,192000,190500,195300,199300,204300,210300,216900,216500,227200,227600,241000,244800,247800,252900,256300,261200,265500,270900,271400,279600,281100,286500,292100,299900,306600,314400,321700,327400,333700,338400,343000,346600,356797,365677,372322,372720,359936,360350,360749,379344,386441,394653,402854,406264,408599,411941,411121,407974,405877,407896,410877,413590,415956.0,420251.0,424445.0,426355.0,428633.0,433478.0,437116.0,438011.0,439618.0,440874.0,439227,437644,434281
Napa,28503,43400,44400,45200,46600,47500,48700,51000,53600,56400,58900,60800,62700,64300,66400,67300,68600,70500,71300,72400,73100,75100,76100,77900,79400,81200,83900,86100,88900,90600,92900,95200,97400,98400,99300,99900,101300,101700,102000,102900,104100,104800,106100,108100,111017,112467,114447,115713,116365,117269,118209,120051,121037,122788,124601,126188,127942,129422,130204,130740,131920,133155,134786,135664,136568.0,137468.0,138859.0,139378.0,140461.0,140955.0,141089.0,140299.0,139558.0,138965.0,138445,137386,135541
Nevada,19283,20900,21300,20400,19800,19300,19100,19400,19500,19500,19400,19600,20000,20400,21200,21900,22800,23700,24700,25500,25900,24800,25000,25700,26500,27100,28800,30500,32300,34100,36900,40400,44500,48200,52500,56000,58800,60400,62300,64700,67100,69900,72800,75300,79019,82094,83509,84864,85796,87059,88128,89353,90306,90860,91872,93515,94580,95974,97107,97802,98334,98480,98680,98432,98834.0,99222.0,99264.0,99393.0,100370.0,100456.0,100919.0,101384.0,101920.0,102298.0,102184,102221,100788
Orange,130760,195100,200500,209000,219900,234800,256700,281000,312700,366900,440900,516000,578200,643500,719500,796000,868800,967400,1051400,1141900,1207500,1272200,1326800,1388600,1431900,1486300,1534900,1601800,1669700,1713400,1752100,1811000,1854300,1896400,1944800,2003900,2043500,2086000,2119100,2166300,2218400,2268300,2316500,2372400,2411976,2458797,2511752,2550418,2575726,2604532,2646105,2699584,2749564,2802818,2853893,2889908,2914438,2939719,2956482,2957151,2955433,2965823,2982788,2998816,3016922.0,3053035.0,3087846.0,3112757.0,3135170.0,3155895.0,3170359.0,3188158.0,3193464.0,3191365.0,3187189,3163851,3149004
Placer,28108,38600,39000,40000,41600,42000,43200,44400,45600,46700,48300,50200,52300,54900,57500,59000,61600,65100,69100,72100,73700,74100,74800,76100,78000,79700,82000,85300,89000,91300,95100,100700,107300,113500,118400,123000,127100,129800,134100,138800,144200,150600,157400,164600,174905,183630,190810,197214,202786,211555,218502,226101,233298,243339,251731,264925,276817,290655,302815,312630,322270,329719,337914,344088,350872.0,357478.0,362839.0,368023.0,372407.0,376215.0,382010.0,388773.0,395677.0,401671.0,405937,409189,410310
Plumas,11548,11600,12700,13700,13400,13000,13300,13000,12600,12200,12100,11900,11900,11600,11600,11600,11600,12100,12400,12400,12300,12100,12000,11700,11700,12000,12600,13400,13800,14100,14300,15100,15700,16700,17400,17800,18200,18000,18100,18600,18700,19000,19300,19300,19779,20166,20764,20913,20810,20823,20726,21004,20829,20756,20653,20706,20695,20747,20899,20859,20710,20596,20368,20063,19985.0,19951.0,19914.0,19817.0,19776.0,19701.0,19672.0,19642.0,19575.0,19807.0,19847,19720,19252
Riverside,105524,161400,166600,167400,172100,179000,189700,204600,217200,230200,245200,262600,280000,295700,311700,323600,336900,358000,379300,401700,419600,427200,435900,450000,461600,477900,490100,504400,520000,534500,550800,578900,611600,639000,669800,696700,725600,755300,793200,836400,888600,949700,1018000,1096500,1188265,1254676,1296463,1328314,1352163,1378805,1404942,1436278,1466539,1514602,1557271,1622454,1688407,1772427,1856879,1934723,2017350,2082656,2122920,2158399,2197839.0,2228172.0,2249295.0,2268362.0,2291648.0,2313162.0,2337698.0,2361995.0,2383773.0,2400535.0,2422134,2431238,2437925
Sacramento,170333,234100,250000,262700,283700,298600,320800,338600,353800,374300,396900,419400,444800,475400,510300,537800,559100,585100,601700,611800,615800,624200,622600,624800,636700,651900,663900,674200,683000,691600,709600,727000,744800,766500,787900,806700,832200,852900,869800,890700,918200,951400,981700,1011800,1046870,1080078,1096607,1111097,1116418,1120733,1134687,1149127,1165767,1204658,1230501,1265767,1293483,1320963,1342899,1358168,1372275,1388086,1400939,1411403,1423634.0,1439148.0,1453048.0,1465450.0,1485006.0,1502821.0,1520401.0,1536517.0,1554668.0,1570918.0,1586796,1583084,1573364
San Benito,11392,15300,15100,14000,14200,13800,13900,14000,14500,14700,14900,15200,15300,15200,15500,15900,15900,15900,16300,16600,17100,17400,17700,18000,18400,19000,19500,20000,20500,21400,22000,23000,23800,24400,25200,25800,26700,27500,28600,29900,31400,32700,34100,35900,36911,37907,39864,41027,42278,44347,46031,48469,50205,52185,53635,54696,55199,55458,55287,55153,54895,55000,55043,55093,55563.0,56264.0,57055.0,57730.0,58515.0,59220.0,60087.0,60733.0,61848.0,63282.0,64432,65170,65804
